kind,params,oct_rmsle,nov_rmsle,dec_rmsle,jan_rmsle,mean_rmsle,std_rmsle,worst_rmsle,worst_gap_vs_best_base,selection_score
convex,"{""l2"": 0.0001, ""recency_factor"": 1.3}",1.7111929065634246,1.731348898923047,1.740330497303102,1.6748218244219888,1.7144235318028906,0.02518119874282031,1.740330497303102,0.0040654198107461514,1.724050035325027
convex,"{""l2"": 0.001, ""recency_factor"": 1.3}",1.7111961538282807,1.7313401909928758,1.74032582649438,1.674876707140028,1.714434719613891,0.025156853128285996,1.74032582649438,0.004120302528785258,1.724063678714548
convex,"{""l2"": 0.1, ""recency_factor"": 1.15}",1.7114911924695242,1.7307521655289735,1.7402794218767648,1.6753109639772088,1.7144584359631179,0.024867338184633866,1.7402794218767648,0.00455455936596616,1.724072916200933
convex,"{""l2"": 0.01, ""recency_factor"": 1.3}",1.7111946406105105,1.7312504044547468,1.7403119734059904,1.6750284776595323,1.7144463740326952,0.025078621344181797,1.7403119734059904,0.004272073048289693,1.7240783061128166
convex,"{""l2"": 0.1, ""recency_factor"": 1.3}",1.7114739927000242,1.730776252602395,1.7402875392705337,1.6755176774423528,1.7145138655038266,0.02479259467847941,1.7402875392705337,0.004761272831110164,1.7241435282075164
convex,"{""l2"": 0.1, ""recency_factor"": 1.5}",1.7114546616126467,1.730802910514699,1.7403026433906261,1.6757595493779809,1.7145799412239882,0.024706438103698398,1.7403026433906261,0.005003144766738243,1.7242278235136304
ridge,"{""alpha"": 1000.0, ""recency_factor"": 1.15}",1.7115905438966843,1.7323239101524779,1.7379962515524905,1.676742170429292,1.7146632190077362,0.023998842040145008,1.7379962515524905,0.005985765818049327,1.7242599668853968
convex,"{""l2"": 0.01, ""recency_factor"": 1.5}",1.7111880046984627,1.7312674347643378,1.7403201954970826,1.6756087330290184,1.7145960919972254,0.024856047497951766,1.7403201954970826,0.00485232841777572,1.7242661743050638
convex,"{""l2"": 0.0, ""recency_factor"": 1.5}",1.7111873835353109,1.73137149476255,1.7403470738360818,1.6756598025106848,1.714641438661157,0.024860475210071273,1.7403470738360818,0.004903397899442163,1.7243232845645704
convex,"{""l2"": 0.001, ""recency_factor"": 1.5}",1.7111896928482637,1.7313628295541703,1.7403428059151003,1.6756873523273146,1.7146456701612123,0.02484703459045928,1.7403428059151003,0.004930947716071943,1.7243283218110874
convex,"{""l2"": 0.0001, ""recency_factor"": 1.5}",1.7111868749397163,1.7313716704410675,1.7403469708812336,1.6756890362131556,1.7146486381187933,0.024849036710578566,1.7403469708812336,0.004932631601912929,1.7243323272878783
ridge,"{""alpha"": 1000.0, ""recency_factor"": 1.3}",1.7116044194057487,1.732319053134186,1.7382512826148153,1.6772780250595678,1.7148631950535795,0.02384834503327204,1.7382512826148153,0.0065216204483251605,1.7245144399048897
ridge,"{""alpha"": 1000.0, ""recency_factor"": 1.5}",1.711622312689282,1.7323124452721843,1.7386176840596272,1.6777509815791913,1.7150758559000714,0.023750741515030503,1.7386176840596272,0.006994576967948696,1.724787530823922
ridge,"{""alpha"": 100.0, ""recency_factor"": 1.0}",1.7116343298622054,1.7322353487215654,1.7369857515568323,1.6830832344807634,1.7159846661553417,0.02125182288657372,1.7369857515568323,0.012326829869520717,1.7258881701395468
ridge,"{""alpha"": 100.0, ""recency_factor"": 1.15}",1.7116585232979986,1.7322247489854277,1.7370544096830594,1.6849211187644688,1.7164647001827387,0.020557310989701226,1.7370544096830594,0.014164714153226177,1.7264927018597793
ridge,"{""alpha"": 100.0, ""recency_factor"": 1.3}",1.7116809733782967,1.7322166317055596,1.7371537459531894,1.6864112125618025,1.716865640899712,0.02001007938564111,1.7371537459531894,0.015654807950559846,1.7270001302747986
ridge,"{""alpha"": 10.0, ""recency_factor"": 1.0}",1.7118224332035512,1.7322059732650446,1.7365311519218234,1.687989903728308,1.7171373655296818,0.019241913397581772,1.7365311519218234,0.017233499117065287,1.7273187350422485
ridge,"{""alpha"": 100.0, ""recency_factor"": 1.5}",1.7117083353901703,1.732208823657401,1.7373238435237974,1.6879174740336236,1.7172896191512481,0.01947964608596961,1.7373238435237974,0.017161069422380937,1.7275397091658138
ridge,"{""alpha"": 1.0, ""recency_factor"": 1.0}",1.712164860571173,1.7323281232246779,1.7364199515877325,1.6892050070971065,1.7175294856201724,0.01875436392510423,1.7364199515877325,0.018448602485863885,1.7277832334911318
ridge,"{""alpha"": 0.1, ""recency_factor"": 1.0}",1.7125231869973234,1.7325746653322769,1.736414057095373,1.6892760828155786,1.717696998060138,0.0187496001733442,1.736414057095373,0.018519678204335976,1.7279632937616758
ridge,"{""alpha"": 0.01, ""recency_factor"": 1.0}",1.7127323838250057,1.732653887088623,1.7364142675531475,1.6892781878873482,1.717769681588531,0.018750331605360358,1.7364142675531475,0.01852178327610554,1.7280366543056283
linear,"{""recency_factor"": 1.0}",1.7127694204200046,1.7326646664105931,1.7364143089323296,1.6892783322092386,1.7177816819930414,0.01874994484529307,1.7364143089323296,0.01852192759799598,1.7280485482084933
ridge,"{""alpha"": 10.0, ""recency_factor"": 1.15}",1.7118579715588473,1.7321776753415867,1.736503700059299,1.6904714356731931,1.7177526956582316,0.018294091419726096,1.736503700059299,0.019715031061950494,1.728098633867526
ridge,"{""alpha"": 0.0, ""recency_factor"": 1.0}",1.7128607421657098,1.7327148664203336,1.7363430392906412,1.6894495933921103,1.7178420603171989,0.018671049066507992,1.7363430392906412,0.018693188780867676,1.7281155652466502
ridge,"{""alpha"": 1.0, ""recency_factor"": 1.15}",1.7122077178904334,1.7322820781030999,1.7363741365565042,1.6918264072908884,1.7181725849602314,0.017748767522037846,1.7363741365565042,0.02107000267964576,1.7285986541288738
ridge,"{""alpha"": 10.0, ""recency_factor"": 1.3}",1.7118902834335556,1.7321567522886814,1.73649994475637,1.692486753831098,1.7182584335774262,0.01754030220872309,1.73649994475637,0.021730349219855283,1.7287436091944504
ridge,"{""alpha"": 0.1, ""recency_factor"": 1.15}",1.7125767262110514,1.7325251588785051,1.7363698662152738,1.691909826538881,1.7183453944609277,0.01773459955637207,1.7363698662152738,0.02115342192763836,1.7287831886911857
ridge,"{""alpha"": 0.0, ""recency_factor"": 1.15}",1.7126813439915334,1.7327252504171329,1.73620957975236,1.691880046469957,1.718374055157746,0.01773698254853886,1.73620957975236,0.021123641858714404,1.7288067274214776
ridge,"{""alpha"": 0.01, ""recency_factor"": 1.15}",1.7127923041184732,1.7326068532185885,1.736370698924961,1.691912587678481,1.7184206109851259,0.01773279633592181,1.736370698924961,0.021156183067238432,1.728858326316146
linear,"{""recency_factor"": 1.15}",1.712830487323031,1.7326180946821723,1.7363708204823578,1.6919127917935037,1.7184330485702661,0.01773197610534119,1.7363708204823578,0.021156387182261094,1.7288705176435877
ridge,"{""alpha"": 1.0, ""recency_factor"": 1.3}",1.7122473497564281,1.7322471973538105,1.7363498410669136,1.6939577639768757,1.718700538038507,0.016947406757836993,1.7363498410669136,0.023201359365633056,1.7292724022768766
ridge,"{""alpha"": 10.0, ""recency_factor"": 1.5}",1.7119290417074906,1.732136926705705,1.736520950317567,1.6945645357646493,1.718787863623853,0.01678148458498894,1.736520950317567,0.02380813115340663,1.7294230094592804
ridge,"{""alpha"": 0.1, ""recency_factor"": 1.3}",1.712626940364371,1.7324896222421116,1.736347663693289,1.694053146786082,1.7188793432714635,0.016924940812760775,1.736347663693289,0.023296742174839347,1.7294624209908978
ridge,"{""alpha"": 0.01, ""recency_factor"": 1.3}",1.7128499486505602,1.7325753336739962,1.7363493287122198,1.6940564719254267,1.7189577707405506,0.016921025990549052,1.7363493287122198,0.023300067314184103,1.7295401433000794
linear,"{""recency_factor"": 1.3}",1.712889568171625,1.7325872882900024,1.736349558677737,1.694056722255451,1.7189707843487037,0.016919830502561843,1.736349558677737,0.023300317644208368,1.7295527885534419
ridge,"{""alpha"": 0.0, ""recency_factor"": 1.3}",1.7127497336298256,1.7324390859705527,1.73626617831995,1.6945550065266175,1.7190025011117365,0.016698453941082575,1.73626617831995,0.023798601915374862,1.7296066803741903
ridge,"{""alpha"": 1.0, ""recency_factor"": 1.5}",1.7122957798640763,1.7322126255661061,1.7363393259648494,1.6961721808955355,1.7192549780726418,0.016132432679949342,1.7363393259648494,0.025415776284292813,1.7299844847674828
ridge,"{""alpha"": 0.1, ""recency_factor"": 1.5}",1.712689158680052,1.7324566143838067,1.736341066293503,1.696287883383823,1.7194436806852962,0.016098700258254592,1.736341066293503,0.02553147877258044,1.7301845215302014
ridge,"{""alpha"": 0.01, ""recency_factor"": 1.5}",1.7129231247227819,1.732549418554846,1.7363443403187846,1.6962926609616438,1.719527386139514,0.016092327356890753,1.7363443403187846,0.025536256350401132,1.730266951984506
linear,"{""recency_factor"": 1.5}",1.712964968614087,1.7325626331886745,1.7363447826092675,1.6962930517538135,1.7195413590414608,0.01609069083981593,1.7363447826092675,0.025536647142570867,1.7302804302639105
ridge,"{""alpha"": 0.0, ""recency_factor"": 1.5}",1.7131262280288513,1.7345525013667789,1.7363206837467589,1.69592289168174,1.7199805762060323,0.016621480010345864,1.7363206837467589,0.02516648707049729,1.7308313916237528
